Fylkesnr. 2019,Fylkesnavn 2019,Kommunenr. 2019,Kommunenavn 2019,Fylkesnr. 2020,Fylkesnavn 2020,Kommunenr. 2020,Kommunenavn 2020
19,TROMS,1913,SKÅNLAND,54,TROMS OG FINNMARK,5412,TJELDSUND
19,TROMS,1917,IBESTAD,54,TROMS OG FINNMARK,5413,IBESTAD
19,TROMS,1919,GRATANGEN,54,TROMS OG FINNMARK,5414,GRATANGEN
19,TROMS,1920,LAVANGEN,54,TROMS OG FINNMARK,5415,LAVANGEN
19,TROMS,1922,BARDU,54,TROMS OG FINNMARK,5416,BARDU
19,TROMS,1923,SALANGEN,54,TROMS OG FINNMARK,5417,SALANGEN
19,TROMS,1924,MÅLSELV,54,TROMS OG FINNMARK,5418,MÅLSELV
19,TROMS,1925,SØRREISA,54,TROMS OG FINNMARK,5419,SØRREISA
19,TROMS,1926,DYRØY,54,TROMS OG FINNMARK,5420,DYRØY
19,TROMS,1927,TRANØY,54,TROMS OG FINNMARK,5421,SENJA
19,TROMS,1928,TORSKEN,54,TROMS OG FINNMARK,5421,SENJA
19,TROMS,1929,BERG,54,TROMS OG FINNMARK,5421,SENJA
19,TROMS,1931,LENVIK,54,TROMS OG FINNMARK,5421,SENJA
19,TROMS,1933,BALSFJORD,54,TROMS OG FINNMARK,5422,BALSFJORD
19,TROMS,1936,KARLSØY,54,TROMS OG FINNMARK,5423,KARLSØY
19,TROMS,1938,LYNGEN,54,TROMS OG FINNMARK,5424,LYNGEN
19,TROMS,1939,STORFJORD,54,TROMS OG FINNMARK,5425,STORFJORD
19,TROMS,1940,KÅFJORD,54,TROMS OG FINNMARK,5426,KÅFJORD
19,TROMS,1941,SKJERVØY,54,TROMS OG FINNMARK,5427,SKJERVØY
19,TROMS,1942,NORDREISA,54,TROMS OG FINNMARK,5428,NORDREISA
19,TROMS,1943,KVÆNANGEN,54,TROMS OG FINNMARK,5429,KVÆNANGEN
20,FINNMARK,2002,VARDØ,54,TROMS OG FINNMARK,5404,VARDØ
20,FINNMARK,2003,VADSØ,54,TROMS OG FINNMARK,5405,VADSØ
20,FINNMARK,2004,HAMMERFEST,54,TROMS OG FINNMARK,5406,HAMMERFEST
20,FINNMARK,2011,KAUTOKEINO,54,TROMS OG FINNMARK,5430,KAUTOKEINO
20,FINNMARK,2012,ALTA,54,TROMS OG FINNMARK,5403,ALTA
20,FINNMARK,2014,LOPPA,54,TROMS OG FINNMARK,5432,LOPPA
20,FINNMARK,2015,HASVIK,54,TROMS OG FINNMARK,5433,HASVIK
20,FINNMARK,2017,KVALSUND,54,TROMS OG FINNMARK,5406,HAMMERFEST
20,FINNMARK,2018,MÅSØY,54,TROMS OG FINNMARK,5434,MÅSØY
20,FINNMARK,2019,NORDKAPP,54,TROMS OG FINNMARK,5435,NORDKAPP
20,FINNMARK,2020,PORSANGER,54,TROMS OG FINNMARK,5436,PORSANGER
20,FINNMARK,2021,KARASJOK,54,TROMS OG FINNMARK,5437,KARASJOK
20,FINNMARK,2022,LEBESBY,54,TROMS OG FINNMARK,5438,LEBESBY
20,FINNMARK,2023,GAMVIK,54,TROMS OG FINNMARK,5439,GAMVIK
20,FINNMARK,2024,BERLEVÅG,54,TROMS OG FINNMARK,5440,BERLEVÅG
20,FINNMARK,2025,TANA,54,TROMS OG FINNMARK,5441,TANA
20,FINNMARK,2027,NESSEBY,54,TROMS OG FINNMARK,5442,NESSEBY
20,FINNMARK,2028,BÅTSFJORD,54,TROMS OG FINNMARK,5443,BÅTSFJORD
20,FINNMARK,2030,SØR-VARANGER,54,TROMS OG FINNMARK,5444,SØR-VARANGER
50,TRØNDELAG,5001,TRONDHEIM,50,TRØNDELAG,5001,TRONDHEIM
50,TRØNDELAG,5004,STEINKJER,50,TRØNDELAG,5006,STEINKJER
50,TRØNDELAG,5005,NAMSOS,50,TRØNDELAG,5007,NAMSOS
50,TRØNDELAG,5011,HEMNE,50,TRØNDELAG,5055,HEIM
50,TRØNDELAG,5012,SNILLFJORD (DELES),50,TRØNDELAG,5055,HEIM
50,TRØNDELAG,5012,SNILLFJORD (DELES),50,TRØNDELAG,5056,HITRA
50,TRØNDELAG,5012,SNILLFJORD (DELES),50,TRØNDELAG,5059,ORKLAND
50,TRØNDELAG,5013,HITRA,50,TRØNDELAG,5056,HITRA
50,TRØNDELAG,5014,FRØYA,50,TRØNDELAG,5014,FRØYA
50,TRØNDELAG,5015,ØRLAND,50,TRØNDELAG,5057,ØRLAND
50,TRØNDELAG,5016,AGDENES,50,TRØNDELAG,5059,ORKLAND
50,TRØNDELAG,5017,BJUGN,50,TRØNDELAG,5057,ØRLAND
50,TRØNDELAG,5018,ÅFJORD,50,TRØNDELAG,5058,ÅFJORD
50,TRØNDELAG,5019,ROAN,50,TRØNDELAG,5058,ÅFJORD
50,TRØNDELAG,5020,OSEN,50,TRØNDELAG,5020,OSEN
50,TRØNDELAG,5021,OPPDAL,50,TRØNDELAG,5021,OPPDAL
50,TRØNDELAG,5022,RENNEBU,50,TRØNDELAG,5022,RENNEBU
50,TRØNDELAG,5023,MELDAL,50,TRØNDELAG,5059,ORKLAND
50,TRØNDELAG,5024,ORKDAL,50,TRØNDELAG,5059,ORKLAND
50,TRØNDELAG,5025,RØROS,50,TRØNDELAG,5025,RØROS
50,TRØNDELAG,5026,HOLTÅLEN,50,TRØNDELAG,5026,HOLTÅLEN
50,TRØNDELAG,5027,MIDTRE GAULDAL,50,TRØNDELAG,5027,MIDTRE GAULDAL
50,TRØNDELAG,5028,MELHUS,50,TRØNDELAG,5028,MELHUS
50,TRØNDELAG,5029,SKAUN,50,TRØNDELAG,5029,SKAUN
50,TRØNDELAG,5030,KLÆBU,50,TRØNDELAG,5001,TRONDHEIM
50,TRØNDELAG,5031,MALVIK,50,TRØNDELAG,5031,MALVIK
50,TRØNDELAG,5032,SELBU,50,TRØNDELAG,5032,SELBU
50,TRØNDELAG,5033,TYDAL,50,TRØNDELAG,5033,TYDAL
50,TRØNDELAG,5034,MERÅKER,50,TRØNDELAG,5034,MERÅKER
50,TRØNDELAG,5035,STJØRDAL,50,TRØNDELAG,5035,STJØRDAL
50,TRØNDELAG,5036,FROSTA,50,TRØNDELAG,5036,FROSTA
50,TRØNDELAG,5037,LEVANGER,50,TRØNDELAG,5037,LEVANGER
50,TRØNDELAG,5038,VERDAL,50,TRØNDELAG,5038,VERDAL
50,TRØNDELAG,5039,VERRAN,50,TRØNDELAG,5006,STEINKJER
50,TRØNDELAG,5040,NAMDALSEID,50,TRØNDELAG,5007,NAMSOS
50,TRØNDELAG,5041,SNÅSA,50,TRØNDELAG,5041,SNÅSA
50,TRØNDELAG,5042,LIERNE,50,TRØNDELAG,5042,LIERNE
50,TRØNDELAG,5043,RØYRVIK,50,TRØNDELAG,5043,RØYRVIK
50,TRØNDELAG,5044,NAMSSKOGAN,50,TRØNDELAG,5044,NAMSSKOGAN
50,TRØNDELAG,5045,GRONG,50,TRØNDELAG,5045,GRONG
50,TRØNDELAG,5046,HØYLANDET,50,TRØNDELAG,5046,HØYLANDET
50,TRØNDELAG,5047,OVERHALLA,50,TRØNDELAG,5047,OVERHALLA
50,TRØNDELAG,5048,FOSNES,50,TRØNDELAG,5007,NAMSOS
50,TRØNDELAG,5049,FLATANGER,50,TRØNDELAG,5049,FLATANGER
50,TRØNDELAG,5050,VIKNA,50,TRØNDELAG,5060,NÆRØYSUND
50,TRØNDELAG,5051,NÆRØY,50,TRØNDELAG,5060,NÆRØYSUND
50,TRØNDELAG,5052,LEKA,50,TRØNDELAG,5052,LEKA
50,TRØNDELAG,5053,INDERØY,50,TRØNDELAG,5053,INDERØY
50,TRØNDELAG,5054,INDRE FOSEN,50,TRØNDELAG,5054,INDRE FOSEN
50,TRØNDELAG,5061,RINDAL,50,TRØNDELAG,5061,RINDAL
